TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,4,0
1,6,1
2,4,0
3,2,0
4,6,0
5,3,1
6,5,0
7,10,0
8,10,0
9,7,1
10,13,1
11,14,0
12,6,1
13,5,0
14,15,0
15,12,2
16,4,0
17,2,1
18,5,0
19,7,0
20,6,0
21,7,0
22,4,1
23,6,0
24,9,1
25,2,0
26,6,0
27,9,0
28,6,1
29,7,0
30,8,0
31,5,0
32,3,0
33,4,0
34,19,3
35,5,0
36,2,0
37,6,1
38,9,0
39,5,0
40,7,1
41,13,1
42,5,0
43,2,1
44,8,0
45,9,0
46,9,0
47,6,1
48,5,0
49,4,0
50,3,0
51,8,1
52,4,0
53,2,0
54,10,0
55,8,1
56,7,0
57,6,0
58,9,1
59,4,0
60,4,0
61,13,0
62,6,1
63,13,0
64,5,0
65,8,1
66,6,0
67,11,1
68,8,1
69,6,0
70,5,0
71,7,1
72,5,0
73,3,0
74,7,0
75,2,0
76,21,3
77,3,0
78,4,0
79,6,0
80,17,2
81,5,0
82,7,0
83,8,1
84,5,1
85,3,0
86,5,0
87,9,0
88,3,1
89,2,0
90,6,0
91,11,1
92,4,0
93,5,0
94,13,2
95,9,1
96,5,0
97,2,0
98,9,1
99,7,1
100,7,0
101,13,1
102,5,0
103,24,2
104,6,0
105,12,1
106,8,0
107,9,1
108,9,0
109,4,1
110,1,0
111,8,0
112,6,0
113,6,1
114,4,0
115,9,0
116,7,1
117,12,1
118,6,0
119,6,0
120,3,0
121,4,0
122,4,0
123,9,1
124,6,0
125,9,1
126,9,0
127,8,1
128,2,0
129,11,0
130,2,0
131,7,0
132,2,0
133,6,1
134,6,0
135,6,0
136,13,0
137,4,0
138,6,1
139,10,0
140,10,1
141,2,0
142,8,0
143,9,1
144,1,0
145,9,1
146,13,1
147,6,0
148,11,0
149,13,1
150,7,0
151,2,0
152,5,0
153,13,1
154,6,0
155,6,0
156,12,0
157,7,1
158,11,0
159,6,0
160,7,1
161,4,0
162,22,1
163,6,1
164,6,0
165,3,0
166,20,4
167,20,1
168,7,0
169,5,0
170,14,1
171,2,0
172,6,0
173,3,0
174,3,0
175,8,1
176,9,0
177,6,0
178,7,1
179,10,0
180,8,1
181,8,0
182,11,0
183,10,1
184,13,1
185,5,0
186,8,0
187,7,1
188,6,0
189,2,0
190,10,1
191,3,0
192,7,0
193,3,0
194,11,1
195,6,0
196,4,0
197,7,0
198,7,0
199,13,1
200,4,0
201,4,0
202,12,0
203,5,0
204,6,1
205,7,0
206,2,0
207,6,0
208,10,1
209,6,0
210,12,0
211,5,0
212,7,1
213,9,0
214,7,1
215,6,0
216,7,0
217,6,0
218,4,0
219,8,1
220,12,0
221,6,0
222,2,0
223,6,1
224,13,1
225,5,0
226,4,0
227,6,1
228,6,0
229,6,0
230,9,0
231,13,2
232,7,1
233,5,0
234,10,0
235,6,0
236,5,1
237,10,0
238,8,0
239,6,1
240,5,0
241,11,1
242,7,0
243,5,0
244,8,0
245,5,1
246,8,0
247,13,0
248,6,1
249,2,0
250,6,0
251,9,0
252,5,1
253,13,1
254,17,1
255,7,1
256,9,0
257,10,1
258,4,0
259,8,0
260,8,1
261,2,0
262,4,0
263,4,0
264,6,1
265,7,0
266,4,0
267,4,0
268,6,0
269,2,1
270,6,0
271,6,0
272,10,0
273,8,0
274,15,1
275,13,1
276,9,0
277,5,0
278,6,0
279,7,1
280,3,0
281,6,0
282,16,0
283,10,1
284,7,0
285,4,0
286,2,0
287,8,1
288,6,0
289,8,0
290,5,0
291,7,1
292,4,0
293,14,0
294,16,1
295,4,0
296,5,0
297,5,0
298,2,1
299,9,0
300,7,0
301,6,0
302,2,1
303,6,0
304,2,0
305,9,0
306,4,0
307,9,1
308,6,0
309,5,0
310,3,0
311,14,1
312,8,0
313,7,0
314,6,0
315,11,1
316,9,1
317,5,0
318,3,0
319,8,0
320,5,0
321,4,0
322,6,1
323,8,0
324,6,1
325,6,0
326,2,0
327,6,0
328,21,1
329,4,1
330,13,1
331,3,0
332,14,0
333,13,1
334,6,1
335,6,0
336,2,0
337,5,0
338,6,0
339,3,0
340,8,1
341,6,0
342,7,0
343,10,0
344,4,0
345,7,2
346,4,0
347,7,0
348,6,0
349,7,0
350,10,1
351,13,0
352,6,0
353,6,0
354,6,0
355,6,1
356,5,0
357,10,1
358,2,0
359,5,0
360,6,0
361,13,1
362,6,0
363,11,0
364,11,1
365,4,0
366,4,1
367,23,2
368,10,0
369,8,0
370,7,1
371,2,0
372,9,0
373,4,0
374,19,2
375,5,0
376,8,0
377,3,0
378,9,1
379,5,0
380,5,0
381,2,0
382,7,0
383,6,0
384,5,0
385,6,1
386,6,0
387,3,0
388,10,1
389,10,0
390,11,0
391,6,1
392,6,0
393,7,0
394,9,1
395,13,0
396,6,0
397,9,1
398,11,0
399,6,1
400,12,0
401,3,0
402,8,0
403,8,0
404,9,1
405,4,0
406,9,1
407,2,0
408,9,0
409,9,0
410,8,1
411,5,0
412,9,0
413,6,0
414,6,1
415,6,0
416,6,0
417,5,0
418,10,1
419,4,0
420,5,0
421,6,0
422,5,0
423,6,0
424,6,1
425,8,0
426,6,0
427,14,0
428,9,1
429,5,0
430,8,1
431,23,2
432,11,0
433,7,1
434,5,0
435,6,0
436,8,1
437,5,0
438,16,1
439,9,0
440,6,1
441,6,0
442,5,0
443,7,1
444,2,0
445,6,0
446,10,1
447,9,1
448,8,0
449,6,0
450,6,0
451,7,1
452,4,0
453,5,0
454,4,0
455,4,0
456,8,1
457,4,0
458,6,0
459,6,0
460,6,0
461,6,1
462,6,0
463,5,0
464,10,0
465,3,1
466,6,0
467,6,0
468,28,2
469,5,0
470,6,0
471,5,0
472,8,1
473,11,0
474,10,1
475,6,0
476,9,0
477,10,1
478,14,2
479,6,0
480,6,0
481,9,1
482,6,0
483,2,0
484,10,1
485,4,0
486,2,0
487,18,2
488,6,0
489,12,1
490,6,0
491,9,1
492,8,0
493,2,0
494,4,0
495,23,2
496,6,0
497,9,1
498,7,0
499,6,0
