TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,0,0.0,4.0,1
1,4,0,0.0,4.0,0
2,3,0,0.0,3.0,0
3,2,0,0.0,2.0,0
4,4,0,0.0,4.0,1
5,3,0,0.0,3.0,0
6,5,0,0.0,5.0,1
7,8,0,0.0,8.0,0
8,6,0,0.0,6.0,1
9,5,0,0.0,5.0,1
10,11,0,0.0,11.0,1
11,5,0,0.0,5.0,0
12,4,0,0.0,4.0,0
13,3,0,0.0,3.0,1
14,8,0,0.0,8.0,0
15,12,0,0.0,12.0,5
16,2,0,0.0,2.0,0
17,0,0,0.0,0.0,0
18,5,0,0.0,5.0,0
19,5,0,0.0,5.0,1
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,0
22,3,0,0.0,3.0,0
23,6,0,0.0,6.0,1
24,7,0,0.0,7.0,1
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,0
27,7,0,0.0,7.0,1
28,5,0,0.0,5.0,0
29,4,0,0.0,4.0,0
30,6,0,0.0,6.0,1
31,3,0,0.0,3.0,0
32,1,0,0.0,1.0,0
33,2,0,0.0,2.0,0
34,15,0,0.0,15.0,3
35,5,0,0.0,5.0,0
36,0,0,0.0,0.0,0
37,3,0,0.0,3.0,0
38,7,0,0.0,7.0,1
39,3,0,0.0,3.0,0
40,3,0,0.0,3.0,0
41,9,0,0.0,9.0,2
42,3,1,0.0,4.0,0
43,1,1,0.0,2.0,1
44,5,1,0.0,6.0,0
45,7,0,0.0,7.0,1
46,7,0,0.0,7.0,1
47,4,0,0.0,4.0,0
48,5,0,0.0,5.0,0
49,2,1,0.0,3.0,0
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,1
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,1
55,6,0,0.0,6.0,1
56,6,0,0.0,6.0,0
57,5,0,0.0,5.0,0
58,8,0,0.0,8.0,1
59,3,0,0.0,3.0,0
60,2,0,0.0,2.0,0
61,8,0,0.0,8.0,1
62,2,0,0.0,2.0,1
63,8,0,0.0,8.0,0
64,4,0,0.0,4.0,0
65,10,0,0.0,10.0,1
66,2,0,0.0,2.0,0
67,10,0,0.0,10.0,2
68,7,0,0.0,7.0,1
69,4,0,0.0,4.0,0
70,3,0,0.0,3.0,1
71,5,0,0.0,5.0,0
72,4,0,0.0,4.0,0
73,3,0,0.0,3.0,0
74,7,0,0.0,7.0,1
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,13
77,3,0,0.0,3.0,0
78,3,0,0.0,3.0,0
